"id","first_name","middle_name","last_name","twitter_account","facebook_account","facebook_id","fblike.16.22.5.115","twtrfol.18.23.6.2015","youtube_video_id","ytvideolikes.17.25.6.2015"
"A000055","Robert","B.","Aderholt","Robert_Aderholt","RobertAderholt",19787529402,8232,8610,"4GjRcvFfOnY","69"
"A000367","Justin",NA,"Amash","RepJustinAmash","repjustinamash",173604349345646,100849,0,"Rdy62vTOtw8","8421"
"A000369","Mark",NA,"Amodei","MarkAmodeiNV2","MarkAmodeiNV2",307227745970624,5327,5373,"BhX2Ojk2qRM","119"
"B000213","Joe","L.","Barton","RepJoeBarton","RepJoeBarton",15617630596,6300,14900,"lY5Yb7KafVA","322"
"B000287","Xavier",NA,"Becerra","RepBecerra","XavierBecerra",90311772229,19190,18258,"UG55z7N6-v0","101"
"B000490","Sanford","D.","Bishop Jr.","SanfordBishop","sanfordbishop",366739521606,4952,7357,"Q9993638b-s","10"
"B000589","John","A.","Boehner","SpeakerBoehner","SpeakerJohnBoehner",175082565865743,91613,812256,"uRZw-eFBkQ8","27621"
"B000755","Kevin",NA,"Brady","RepKevinBrady","kevinbrady",9307301412,8133,13585,"4Yk_qrAXQEQ","26677"
"B000911","Corrine",NA,"Brown","RepCorrineBrown","congresswomanbrown",179120958813519,6958,7551,"KgbBP9Em00A","946915"
"B001227","Robert","A.","Brady","RepBrady","RepRobertBrady",118845109487,3992,6979,"IUOMhn0eGak","511"
